Rxn_name	Comp_correction	Ratelaw						
vD32	Nucleus	MDM2product6/kD32	15.28632					
vD33	Nucleus	MDM2product8/kD33	291.9924					
vD34	Nucleus	MDM2product7/kD34	291.9924					
vD35	Nucleus	MDM2product9/kD35	363.348					
vD36	Nucleus	MDM2product8/kD36	363.348					
vD37	Nucleus	MDM2pro/kD37	478.62					
vD38	Nucleus	MDM2product9/kD38	478.62					
vD39	Nucleus	Wip1product1/kD39	289.3572					
vD40	Nucleus	p53ac/kD40	289.3572					
vD41	Nucleus	Wip1product2/kD41	440.892					
vD42	Nucleus	Wip1product1/kD42	440.892					
vD43	Nucleus	Wip1product3/kD43	594.792					
vD44	Nucleus	Wip1product2/kD44	594.792					
vD45	Nucleus	Wip1product4/kD45	357.246					
vD46	Nucleus	Wip1product3/kD46	357.246					
vD47	Nucleus	Wip1product5/kD47	490.644					
vD48	Nucleus	Wip1product4/kD48	490.644					
vD49	Nucleus	Wip1product6/kD49	1026.18					
vD50	Nucleus	Wip1product5/kD450	1026.18					
vD51	Nucleus	Wip1product7/kD51	380.7					
vD52	Nucleus	Wip1product6/kD52	380.7					
vD53	Nucleus	Wip1product8/kD53	238.6764					
vD54	Nucleus	Wip1product7/kD54	238.6764					
vD55	Nucleus	Wip1product9/kD55	399.312					
vD56	Nucleus	Wip1product8/kD56	399.312					
vD57	Nucleus	Wip1pro/kD57	152.7624					
vD58	Nucleus	Wip1product9/kD58	152.7624					
vD59	Nucleus	kD59*ARF*MDM2	0					
vD60	Nucleus	kD60*ARF*pMDM2	0					
vD61	Nucleus	kD61*MDM4*p53ac	0					
vD62	Nucleus	kD62*p53ac_MDM4	0					
vD63	Nucleus	kD63*BRCA2*damageDSB	5.00E-05					
vD64	Nucleus	kD64*MSH6*damageSSB	1.00E-05					
vD65	Nucleus	kD65*MGMT*damageSSB	1.00E-05					
vD66	Nucleus	(kD66_1+kD66_2*(kD66_3/(kD66_3+kD66_4)))*(((Ma+Me)^kD66_5)/(((Ma+Me)^kD66_5)+(kD66_6^kD66_5)))	1.00E-06	0.005	0	5000	5	20
vC1	Nucleus	kC1	0					
vC2	Nucleus	2.36E-06						
vC3	Nucleus	0.002361111						
vC4	Nucleus	kC4_1*(pRB/(kC4_2+pRB))*(Md+Mdp27)	0.01038889	10				
vC5	Nucleus	kC5_1*(pRBp/(kC5_2+pRBp))	0.9444444	10				
vC6	Nucleus	4.72E-05						
vC7	Nucleus	kC7_1*(pRBp/(kC7_2+pRBp))*Me	0.004722222	10				
vC8	Nucleus	kC8_1*(pRBpp/(kC8_2+pRBpp))	0.9444444	10				
vC9	Nucleus	1.18E-06						
vC10	Nucleus	0.002361111						
vC11	Nucleus	0.000283333						
vC12	Nucleus	0.000188889						
vC13	Nucleus	0						
vC14	Nucleus	kC14_1*Ma*(E2F/(E2F+kc14_2))	0.01888889	500				
vC15	Nucleus	kC15_1*(E2Fp/(E2Fp+kC15_2))	0.3541667	500				
vC16	Nucleus	9.44E-06						
vC17	Nucleus	0.005194444						
vC18	Nucleus	0						
vC19	Nucleus	kC19_1*Cd*(kC19_2-(Mdi+Md+Mdp27+Mdp21))	8.26E-06	150				
vC20	Nucleus	0.000472222						
vC21	Nucleus	kC21_1*(Cd/(kC21_2+Cd))	2.361111	10				
vC22	Nucleus	2.36E-05						
vC23	Nucleus	kC23_1*(Md/(kC23_2+Md))	0.09444444	10				
vC24	Nucleus	kC24_1*(Mdi/(kC24_2+Mdi))	0.4722222	10				
vC25	Nucleus	7.08E-06						
vC26	Nucleus	0.000708333						
vC27	Nucleus	0						
vC28	Nucleus	kC28_1*Ce*(kC28_2-(Mei+Me+Mep27+Mep21+Mai+Ma+Map27+Map21))	9.44E-06	200				
vC29	Nucleus	0.000472222						
vC30	Nucleus	kC30_1*(Skp2/(kC30_2+Skp2))*(Ce/(kC30_3+Ce))	1.416667	200	10			
vC31	Nucleus	kC31_1*(Wee1+kC31_2)*(Me/(kC31_3+Me))	0.006611111	50	10			
vC32	Nucleus	kC32_1*Pe*(Mei/(kC32_2+Mei))	0.009444444	10				
vC33	Nucleus	9.44E-06						
vC34	Nucleus	0.000472222						
vC35	Nucleus	0						
vC36	Nucleus	kC36_1*(Skp2/(k36_2+Skp2))*(Cdh1a/(kC36_3+Cdh1a))	0.5194444	50	40			
vC37	Nucleus	2.36E-05						
vC38	Nucleus	0						
vC39	Nucleus	kC39_1*(kC39_2+(kC39_3*Chk1))*(Pe/(kC39_4+Pe))	0.3777778	1	0.01	10		
vC40	Nucleus	kC40_1*(Me+kC40_2)*(Pei/(kC40_3+Pei))	0.02361111	25	10			
vC41	Nucleus	0.000708333						
vC42	Nucleus	0.000354167						
vC43	Nucleus	0						
vC44	Nucleus	kC44_1*Ca*(kC44_2-(Mei+Me+Mep27+Mep21+Mai+Ma+Map27+Map21))	9.44E-06	200				
vC45	Nucleus	0.000472222						
vC46	Nucleus	kC46_1*(Ca/(kC46_2+Ca))*(Cdc20a/(kC46_3+Cdc20a))	1.180556	110	200			
