gene	t0	comp	t0stoc
ag_EIF4E	0.181818182	Cytoplasm	0
ag_IRS1	0.181818182	Cytoplasm	0
ag_IRS2	0.181818182	Cytoplasm	0
ag_IGF1	0.181818182	Cytoplasm	0
ag_IGF2	0.181818182	Cytoplasm	0
ag_IGF1R	0.181818182	Cytoplasm	1
ag_MSH6	0.181818182	Cytoplasm	0
ag_BRCA2	0.181818182	Cytoplasm	0
ag_MGMT	0.181818182	Cytoplasm	0
ag_INSR	0.181818182	Cytoplasm	0
ag_INS	0.181818182	Cytoplasm	1
ig_TP53	1.818181818	Nucleus	2
ig_MDM2	1.818181818	Nucleus	2
ig_PPM1D	1.818181818	Nucleus	1
ig_ATM	1.818181818	Cytoplasm	2
ig_ATR	1.818181818	Cytoplasm	2
ig_RB1	1.818181818	Nucleus	1
ig_E2F1	1.818181818	Nucleus	2
ig_E2F2	1.818181818	Nucleus	2
ig_E2F3	1.818181818	Nucleus	1
ig_CCND1	1.818181818	Nucleus	1
ig_CCND2	1.818181818	Nucleus	2
ig_CCND3	1.818181818	Nucleus	2
ig_CCNE1	1.818181818	Nucleus	2
ig_CCNE2	1.818181818	Nucleus	1
ig_SKP2	1.818181818	Nucleus	2
ig_CDC25A	1.818181818	Nucleus	1
ig_CDC25B	1.818181818	Nucleus	2
ig_CDC25C	2.727272727	Nucleus	3
ig_CCNA2	1.818181818	Nucleus	2
ig_CDKN1B	1.818181818	Nucleus	2
ig_CDH1	1.818181818	Nucleus	2
ig_CCNB1	1.818181818	Nucleus	1
ig_CDC20	1.818181818	Nucleus	2
ig_WEE1	1.818181818	Nucleus	2
ig_CHEK1	1.818181818	Cytoplasm	2
ig_CDKN1A	1.818181818	Cytoplasm	2
ig_CDK1	1.818181818	Cytoplasm	2
ig_CDK2	1.818181818	Cytoplasm	2
ig_CDK4	1.818181818	Cytoplasm	2
ig_CDK6	1.818181818	Cytoplasm	2
ig_TNFSF10	1.818181818	Cytoplasm	1
ig_TNFRSF10A	1.818181818	Cytoplasm	2
ig_TNFRSF10B	1.818181818	Cytoplasm	2
ig_CFLAR	1.818181818	Cytoplasm	2
ig_CASP8	1.818181818	Cytoplasm	2
ig_CASP10	1.818181818	Cytoplasm	2
ig_BFAR	1.818181818	Cytoplasm	2
ig_CASP3	1.818181818	Cytoplasm	2
ig_CASP7	1.818181818	Cytoplasm	2
ig_CASP6	1.818181818	Cytoplasm	2
ig_XIAP	1.818181818	Cytoplasm	1
ig_PARP1	3.636363636	Cytoplasm	4
ig_BID	1.818181818	Cytoplasm	2
ig_BCL2	1.818181818	Cytoplasm	2
ig_BCL2L1	1.818181818	Cytoplasm	2
ig_MCL1	2.727272727	Cytoplasm	3
ig_BAX	1.818181818	Cytoplasm	2
ig_CYCS	1.818181818	Cytoplasm	1
ig_DIABLO	1.818181818	Cytoplasm	2
ig_APAF1	1.818181818	Cytoplasm	2
ig_CASP9	1.818181818	Cytoplasm	2
ig_BAD	1.818181818	Cytoplasm	2
ig_BBC3	1.818181818	Cytoplasm	1
ig_PMAIP1	1.818181818	Cytoplasm	2
ig_BCL2L11	1.818181818	Cytoplasm	2
ig_EGF	1.818181818	Cytoplasm	2
ig_NRG1	1.818181818	Cytoplasm	1
ig_EGFR	1.818181818	Cytoplasm	2
ig_ERBB2	1.818181818	Cytoplasm	2
ig_ERBB3	1.818181818	Cytoplasm	1
ig_ERBB4	1.818181818	Cytoplasm	2
ig_EGFRvIII	1.818181818	Cytoplasm	2
ig_MET	1.818181818	Cytoplasm	2
ig_HGF	1.818181818	Cytoplasm	2
ig_PDGFRA	1.818181818	Cytoplasm	2
ig_PDGFRB	2.727272727	Cytoplasm	3
ig_PDGFB	1.818181818	Cytoplasm	1
ig_SPRY2	1.818181818	Cytoplasm	1
ig_CBL	1.818181818	Cytoplasm	2
ig_GRB2	1.818181818	Cytoplasm	2
ig_PLCG1	1.818181818	Cytoplasm	2
ig_PLCG2	1.818181818	Cytoplasm	2
ig_PIK3CA	1.818181818	Cytoplasm	2
