species	compartment	IC_Xinitialized
pFFrFr	Cytoplasm	4.935031034e-16
pIIrIr	Cytoplasm	5.146062684e-19
pINS_Isr_Isr	Cytoplasm	6.859973437e-17
pIIrIrI	Cytoplasm	7.606579252e-38
pINS_Isr_Isr_INS	Cytoplasm	1.016605348e-27
pIIrIr_IRS	Cytoplasm	3.75113934e-19
pINS_Isr_Isr_IRS	Cytoplasm	4.960317176e-17
pIIrIrI_IRS	Cytoplasm	5.884606935e-38
pINS_Isr_Isr_INS_IRS	Cytoplasm	7.743805125e-28
Sp_EE1E2	Cytoplasm	3.301344257e-18
Sp_EE1Ev3	Cytoplasm	1.191793188e-28
Sp_EE1E1	Cytoplasm	8.269985663e-18
Sp_EE1EE1	Cytoplasm	0.0
Sp_EE1E3	Cytoplasm	1.499907684e-18
Sp_EE1HE3	Cytoplasm	7.813622131e-34
Sp_EE1E4	Cytoplasm	4.452380945e-29
Sp_EE1HE4	Cytoplasm	1.424341511e-44
Sp_E2HE3	Cytoplasm	8.902809255e-18
Sp_HE3Ev3	Cytoplasm	1.186542812e-28
Sp_E1HE3	Cytoplasm	1.036831183e-16
Sp_HE3E4	Cytoplasm	7.700161949e-29
Sp_HE3HE4	Cytoplasm	3.867825671e-44
Sp_E2HE4	Cytoplasm	1.0590079e-29
Sp_HE4Ev3	Cytoplasm	1.32994223e-40
Sp_E1HE4	Cytoplasm	1.170361229e-28
Sp_E3HE4	Cytoplasm	3.248205645e-29
Sp_HE4E4	Cytoplasm	2.731117396e-41
Sp_HE4HE4	Cytoplasm	0.0
Sp_HGF_Met_Met	Cytoplasm	9.283642797e-15
Sp_HGF_Met_HGF_Met	Cytoplasm	1.748303991e-28
Sp_PPrPPr	Cytoplasm	0.0
Sp_PPrPr	Cytoplasm	8.910544372e-26
Sp_FFrFFr	Cytoplasm	2.270440737e-31
Sp_FFrFr	Cytoplasm	8.147004008e-18
Sp_IIrIr	Cytoplasm	8.494736559e-21
Sp_INS_Isr_Isr	Cytoplasm	1.132748123e-18
Sp_IIrIrI	Cytoplasm	1.47992288e-39
Sp_INS_Isr_Isr_INS	Cytoplasm	1.843274745e-29
EE1E2int	Cytoplasm	7.141245292e-16
EE1Ev3int	Cytoplasm	4.872186033e-26
EE1E1int	Cytoplasm	2.468228829e-15
EE1EE1int	Cytoplasm	0.0
EE1E3int	Cytoplasm	3.244469596e-16
EE1HE3int	Cytoplasm	1.690174778e-31
EE1E4int	Cytoplasm	1.017802535e-26
EE1HE4int	Cytoplasm	3.107216216e-42
E2HE3int	Cytoplasm	2.083570043e-16
HE3Ev3int	Cytoplasm	2.77693086e-27
E1HE3int	Cytoplasm	2.242775743e-14
HE3E4int	Cytoplasm	1.861872249e-27
HE3HE4int	Cytoplasm	9.153603388e-43
E2HE4int	Cytoplasm	2.479619614e-28
HE4Ev3int	Cytoplasm	3.107770317e-39
E1HE4int	Cytoplasm	2.540192962e-26
E3HE4int	Cytoplasm	7.679665781e-28
HE4E4int	Cytoplasm	6.444995721e-40
HE4HE4int	Cytoplasm	0.0
HGF_Met_Metint	Cytoplasm	2.172867325e-13
HGF_Met_HGF_Metint	Cytoplasm	1.984596867e-26
PPrPPrint	Cytoplasm	0.0
PPrPrint	Cytoplasm	3.248321279e-24
FFrFFrint	Cytoplasm	6.335510005e-30
FFrFrint	Cytoplasm	1.906708586e-16
IIrIr_int	Cytoplasm	8.090868292e-19
INS_Isr_Isr_int	Cytoplasm	1.540582417e-16
IIrIrI_int	Cytoplasm	3.502310217e-36
INS_Isr_Isr_INS_int	Cytoplasm	3.302887413e-25
pEE1E2int	Cytoplasm	7.148851112e-16
pEE1Ev3int	Cytoplasm	4.875236841e-26
pEE1E1int	Cytoplasm	2.472361175e-15
pEE1EE1int	Cytoplasm	0.0
pEE1E3int	Cytoplasm	3.247925135e-16
pEE1HE3int	Cytoplasm	1.691974907e-31
pEE1E4int	Cytoplasm	1.018822787e-26
pEE1HE4int	Cytoplasm	3.110499355e-42
pE2HE3int	Cytoplasm	2.086668532e-16
pHE3Ev3int	Cytoplasm	2.78106045e-27
pE1HE3int	Cytoplasm	2.245164433e-14
pHE3E4int	Cytoplasm	1.864645158e-27
pHE3HE4int	Cytoplasm	9.167242429e-43
pE2HE4int	Cytoplasm	2.483317073e-28
pHE4Ev3int	Cytoplasm	3.112405015e-39
pE1HE4int	Cytoplasm	2.542908944e-26
pE3HE4int	Cytoplasm	7.691106414e-28
pHE4E4int	Cytoplasm	6.454585858e-40
pHE4HE4int	Cytoplasm	0.0
pHGF_Met_Metint	Cytoplasm	2.176098604e-13
pHGF_Met_HGF_Metint	Cytoplasm	1.987563173e-26
pPPrPPrint	Cytoplasm	0.0
pPPrPrint	Cytoplasm	3.251968411e-24
pFFrFFrint	Cytoplasm	6.342537154e-30
pFFrFrint	Cytoplasm	1.909544063e-16
pIIrIr_int	Cytoplasm	8.091579307e-19
pINS_Isr_Isr_int	Cytoplasm	1.54076584e-16
pIIrIrI_int	Cytoplasm	3.502320193e-36
pINS_Isr_Isr_INS_int	Cytoplasm	3.302942557e-25
pIIrIr_int_IRS	Cytoplasm	6.003250941e-19
pINS_Isr_Isr_int_IRS	Cytoplasm	1.143112655e-16
pIIrIrI_int_IRS	Cytoplasm	2.616184213e-36
pINS_Isr_Isr_INS_int_IRS	Cytoplasm	2.471705559e-25
pEE1E2_G2_SOS	Cytoplasm	1.917126749e-19
pEE1Ev3_G2_SOS	Cytoplasm	1.044331891e-29
pEE1E1_G2_SOS	Cytoplasm	5.294241616e-19
pEE1EE1_G2_SOS	Cytoplasm	0.0
pEE1E3_G2_SOS	Cytoplasm	7.742105411e-20
pEE1HE3_G2_SOS	Cytoplasm	4.033173541e-35
pEE1E4_G2_SOS	Cytoplasm	3.225099836e-30
pEE1HE4_G2_SOS	Cytoplasm	1.188276289e-45
pE2HE3_G2_SOS	Cytoplasm	4.037008571e-19
pHE3Ev3_G2_SOS	Cytoplasm	6.149100129e-30
pE1HE3_G2_SOS	Cytoplasm	5.351856919e-18
pHE3E4_G2_SOS	Cytoplasm	5.709387008e-30
pHE3HE4_G2_SOS	Cytoplasm	2.516039352e-45
pE2HE4_G2_SOS	Cytoplasm	6.888128055e-31
pHE4Ev3_G2_SOS	Cytoplasm	9.528975059e-42
pE1HE4_G2_SOS	Cytoplasm	8.353164955e-30
pE3HE4_G2_SOS	Cytoplasm	2.647440619e-30
pHE4E4_G2_SOS	Cytoplasm	2.154496019e-42
pHE4HE4_G2_SOS	Cytoplasm	0.0
pHGF_Met_Met_G2_SOS	Cytoplasm	1.20282467e-16
pHGF_Met_HGF_Met_G2_SOS	Cytoplasm	2.096659744e-30
pPPrPPr_G2_SOS	Cytoplasm	2.690064909e-34
pPPrPr_G2_SOS	Cytoplasm	4.841451972e-28
pFFrFFr_G2_SOS	Cytoplasm	8.711005609e-33
pFFrFr_G2_SOS	Cytoplasm	4.222139855e-19
pIIrIr_IRS_G2_SOS	Cytoplasm	2.005463646e-22
pINS_Isr_Isr_IRS_G2_SOS	Cytoplasm	3.712693367e-20
pIIrIrI_IRS_G2_SOS	Cytoplasm	3.491541925e-41
pINS_Isr_Isr_INS_IRS_G2_SOS	Cytoplasm	6.169860005e-31
pEE1E2int_G2_SOS	Cytoplasm	6.880296809e-19
pEE1Ev3int_G2_SOS	Cytoplasm	5.109417136e-29
pEE1E1int_G2_SOS	Cytoplasm	2.643135789e-18
pEE1EE1int_G2_SOS	Cytoplasm	0.0
pEE1E3int_G2_SOS	Cytoplasm	2.778589621e-19
pEE1HE3int_G2_SOS	Cytoplasm	1.447479151e-34
pEE1E4int_G2_SOS	Cytoplasm	1.171754855e-29
pEE1HE4int_G2_SOS	Cytoplasm	3.659317766e-45
pE2HE3int_G2_SOS	Cytoplasm	1.562083715e-19
pHE3Ev3int_G2_SOS	Cytoplasm	2.379321965e-30
pE1HE3int_G2_SOS	Cytoplasm	1.920731027e-17
pHE3E4int_G2_SOS	Cytoplasm	1.820947777e-30
pHE3HE4int_G2_SOS	Cytoplasm	8.871799542e-46
pE2HE4int_G2_SOS	Cytoplasm	2.657402316e-31
pHE4Ev3int_G2_SOS	Cytoplasm	3.661291832e-42
pE1HE4int_G2_SOS	Cytoplasm	2.998567034e-29
pE3HE4int_G2_SOS	Cytoplasm	7.41127961e-31
pHE4E4int_G2_SOS	Cytoplasm	8.283250692e-43
pHE4HE4int_G2_SOS	Cytoplasm	0.0
pHGF_Met_Metint_G2_SOS	Cytoplasm	4.654374927e-17
pHGF_Met_HGF_Metint_G2_SOS	Cytoplasm	1.398964078e-29
pPPrPPrint_G2_SOS	Cytoplasm	0.0
pPPrPrint_G2_SOS	Cytoplasm	3.449642105e-28
pFFrFFrint_G2_SOS	Cytoplasm	5.515468747e-33
pFFrFrint_G2_SOS	Cytoplasm	1.633700603e-19
pIIrIr_int_IRS_G2_SOS	Cytoplasm	3.210031562e-22
pINS_Isr_Isr_int_IRS_G2_SOS	Cytoplasm	8.557361337e-20
pIIrIrI_int_IRS_G2_SOS	Cytoplasm	1.49443639e-39
pINS_Isr_Isr_INS_int_IRS_G2_SOS	Cytoplasm	1.832008475e-28
pEE1E2_PLCg	Cytoplasm	3.457924176e-18
pEE1Ev3_PLCg	Cytoplasm	8.512641547e-29
pEE1E1_PLCg	Cytoplasm	8.594307853e-18
pEE1EE1_PLCg	Cytoplasm	0.0
pEE1E3_PLCg	Cytoplasm	1.178250154e-18
pEE1HE3_PLCg	Cytoplasm	6.137978112e-34
pEE1E4_PLCg	Cytoplasm	6.036330742e-29
pEE1HE4_PLCg	Cytoplasm	1.289882119e-44
pE2HE3_PLCg	Cytoplasm	7.021824139e-18
pHE3Ev3_PLCg	Cytoplasm	9.358578658e-29
pE1HE3_PLCg	Cytoplasm	8.144846149e-17
pHE3E4_PLCg	Cytoplasm	4.839925929e-29
pHE3HE4_PLCg	Cytoplasm	2.282716626e-44
pE2HE4_PLCg	Cytoplasm	8.377828095e-30
pHE4Ev3_PLCg	Cytoplasm	1.05577457e-40
pE1HE4_PLCg	Cytoplasm	9.639671557e-29
pE3HE4_PLCg	Cytoplasm	2.268714992e-29
pHE4E4_PLCg	Cytoplasm	1.495430124e-41
pHE4HE4_PLCg	Cytoplasm	0.0
pHGF_Met_Met_PLCg	Cytoplasm	9.764440022e-15
pHGF_Met_HGF_Met_PLCg	Cytoplasm	1.707594938e-28
pPPrPPr_PLCg	Cytoplasm	4.306371567e-32
pPPrPr_PLCg	Cytoplasm	9.84886964e-26
pFFrFFr_PLCg	Cytoplasm	1.550278307e-31
pFFrFr_PLCg	Cytoplasm	1.285312944e-17
pIIrIr_IRS_PLCg	Cytoplasm	2.439939004e-21
pINS_Isr_Isr_IRS_PLCg	Cytoplasm	7.528388411e-19
pIIrIrI_IRS_PLCg	Cytoplasm	3.832091587e-40
pINS_Isr_Isr_INS_IRS_PLCg	Cytoplasm	1.180960682e-29
pEE1E2_PI3K1	Cytoplasm	2.282942988e-17
pEE1Ev3_PI3K1	Cytoplasm	2.968862672e-28
pEE1E1_PI3K1	Cytoplasm	2.837007675e-17
pEE1EE1_PI3K1	Cytoplasm	0.0
pEE1E3_PI3K1	Cytoplasm	2.592960198e-17
pEE1HE3_PI3K1	Cytoplasm	1.350777094e-32
pEE1E4_PI3K1	Cytoplasm	6.054624867e-28
pEE1HE4_PI3K1	Cytoplasm	1.043770865e-43
pE2HE3_PI3K1	Cytoplasm	1.85504826e-16
pHE3Ev3_PI3K1	Cytoplasm	2.060316369e-27
pE1HE3_PI3K1	Cytoplasm	1.792424809e-15
pHE3E4_PI3K1	Cytoplasm	2.18276927e-27
pHE3HE4_PI3K1	Cytoplasm	8.034128653e-43
pE2HE4_PI3K1	Cytoplasm	1.184347566e-28
pHE4Ev3_PI3K1	Cytoplasm	9.297252711e-40
pE1HE4_PI3K1	Cytoplasm	8.125715941e-28
pE3HE4_PI3K1	Cytoplasm	9.169590783e-28
pHE4E4_PI3K1	Cytoplasm	2.956570775e-40
pHE4HE4_PI3K1	Cytoplasm	0.0
pHGF_Met_Met_PI3K1	Cytoplasm	9.681103119e-14
pHGF_Met_HGF_Met_PI3K1	Cytoplasm	1.688808677e-27
pPPrPPr_PI3K1	Cytoplasm	2.859071199e-31
pPPrPr_PI3K1	Cytoplasm	7.9692781e-25
pFFrFFr_PI3K1	Cytoplasm	3.421987858e-30
pFFrFr_PI3K1	Cytoplasm	2.265498202e-16
pIIrIr_IRS_PI3K1	Cytoplasm	1.121070626e-19
pINS_Isr_Isr_IRS_PI3K1	Cytoplasm	2.047189395e-17
pIIrIrI_IRS_PI3K1	Cytoplasm	1.794515121e-38
pINS_Isr_Isr_INS_IRS_PI3K1	Cytoplasm	3.236410733e-28
pEE1E2_PI3K2	Cytoplasm	1.961013e-17
pEE1Ev3_PI3K2	Cytoplasm	2.402514831e-28
pEE1E1_PI3K2	Cytoplasm	2.436946065e-17
pEE1EE1_PI3K2	Cytoplasm	0.0
pEE1E3_PI3K2	Cytoplasm	2.227313028e-17
pEE1HE3_PI3K2	Cytoplasm	1.16029678e-32
pEE1E4_PI3K2	Cytoplasm	2.670145111e-28
pEE1HE4_PI3K2	Cytoplasm	8.418870343e-44
pE2HE3_PI3K2	Cytoplasm	1.592825623e-16
pHE3Ev3_PI3K2	Cytoplasm	1.769077804e-27
pE1HE3_PI3K2	Cytoplasm	1.539666458e-15
pHE3E4_PI3K2	Cytoplasm	1.41506829e-27
pHE3HE4_PI3K2	Cytoplasm	7.962002515e-43
pE2HE4_PI3K2	Cytoplasm	9.515967047e-29
pHE4Ev3_PI3K2	Cytoplasm	7.962185719e-40
pE1HE4_PI3K2	Cytoplasm	6.979740747e-28
pE3HE4_PI3K2	Cytoplasm	5.600147973e-28
pHE4E4_PI3K2	Cytoplasm	2.486095654e-40
pHE4HE4_PI3K2	Cytoplasm	0.0
pHGF_Met_Met_PI3K2	Cytoplasm	8.305540702e-14
pHGF_Met_HGF_Met_PI3K2	Cytoplasm	1.426268599e-27
pPPrPPr_PI3K2	Cytoplasm	1.742006892e-31
pPPrPr_PI3K2	Cytoplasm	6.697301869e-25
pFFrFFr_PI3K2	Cytoplasm	2.304768217e-30
pFFrFr_PI3K2	Cytoplasm	1.943600172e-16
pIIrIr_IRS_PI3K2	Cytoplasm	9.688233352e-20
pINS_Isr_Isr_IRS_PI3K2	Cytoplasm	1.769169946e-17
pIIrIrI_IRS_PI3K2	Cytoplasm	1.520179145e-38
pINS_Isr_Isr_INS_IRS_PI3K2	Cytoplasm	2.761849234e-28
pEE1E2int_G2_SOS_RasD	Cytoplasm	1.098658394e-19
pEE1Ev3int_G2_SOS_RasD	Cytoplasm	5.459551498e-30
pEE1E1int_G2_SOS_RasD	Cytoplasm	4.218001791e-19
pEE1EE1int_G2_SOS_RasD	Cytoplasm	0.0
pEE1E3int_G2_SOS_RasD	Cytoplasm	4.436902791e-20
pEE1HE3int_G2_SOS_RasD	Cytoplasm	2.311361216e-35
pEE1E4int_G2_SOS_RasD	Cytoplasm	1.182781106e-30
pEE1HE4int_G2_SOS_RasD	Cytoplasm	5.853562265e-46
pE2HE3int_G2_SOS_RasD	Cytoplasm	2.494674785e-20
pHE3Ev3int_G2_SOS_RasD	Cytoplasm	3.799818444e-31
pE1HE3int_G2_SOS_RasD	Cytoplasm	3.067058464e-18
pHE3E4int_G2_SOS_RasD	Cytoplasm	3.583876932e-31
pHE3HE4int_G2_SOS_RasD	Cytoplasm	1.5415673e-46
pE2HE4int_G2_SOS_RasD	Cytoplasm	4.286907769e-32
pHE4Ev3int_G2_SOS_RasD	Cytoplasm	5.845725894e-43
pE1HE4int_G2_SOS_RasD	Cytoplasm	4.976807469e-30
pE3HE4int_G2_SOS_RasD	Cytoplasm	1.205966361e-31
pHE4E4int_G2_SOS_RasD	Cytoplasm	1.322818349e-43
pHE4HE4int_G2_SOS_RasD	Cytoplasm	0.0
pHGF_Met_Metint_G2_SOS_RasD	Cytoplasm	7.433117497e-18
pHGF_Met_HGF_Metint_G2_SOS_RasD	Cytoplasm	2.625126957e-31
pPPrPPrint_G2_SOS_RasD	Cytoplasm	3.436521315e-31
pPPrPrint_G2_SOS_RasD	Cytoplasm	5.465288726e-29
pFFrFFrint_G2_SOS_RasD	Cytoplasm	1.108287322e-33
pFFrFrint_G2_SOS_RasD	Cytoplasm	2.609048196e-20
pIIrIr_int_IRS_G2_SOS_RasD	Cytoplasm	5.126476653e-23
pINS_Isr_Isr_int_IRS_G2_SOS_RasD	Cytoplasm	1.366625448e-20
pIIrIrI_int_IRS_G2_SOS_RasD	Cytoplasm	2.380338281e-40
pINS_Isr_Isr_INS_int_IRS_G2_SOS_RasD	Cytoplasm	2.451845317e-29
pEE1E2_G2_SOS_RasD	Cytoplasm	1.546282931e-18
pEE1Ev3_G2_SOS_RasD	Cytoplasm	8.491584504e-29
pEE1E1_G2_SOS_RasD	Cytoplasm	4.270137826e-18
pEE1EE1_G2_SOS_RasD	Cytoplasm	0.0
pEE1E3_G2_SOS_RasD	Cytoplasm	6.244493464e-19
pEE1HE3_G2_SOS_RasD	Cytoplasm	3.253007351e-34
pEE1E4_G2_SOS_RasD	Cytoplasm	2.60169718e-29
pEE1HE4_G2_SOS_RasD	Cytoplasm	9.60791268e-45
pE2HE3_G2_SOS_RasD	Cytoplasm	3.256101001e-18
